year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1976.0000      92.0000       0.3997       0.0000      23.0000      59.0000       0.4500      12.2800      41.9700      -5.6900     128.4712     -21.6400       0.5000      -9.8700     321.0181       6.4441     -18.2324    1639.0000      29.1800     321.6000  140593.0000       1.1500       3.2500      21.6400      -0.5000      -9.8700       0.6500       0.6700       1.2300       0.0000       0.0000       0.0000      26.5400     309.6000
   1976.0000      92.0000       0.4108       0.0000      24.0000      39.0000       0.4500      12.2800      41.9700      -5.6900     128.4778     -22.5500      -0.1600      -8.9900     323.8448       3.4479     -20.3190    1639.0000      28.1400     324.5000  166717.0000       0.6100       3.5900      22.5500       0.1600      -8.9900       0.4500       1.0000       0.9200       0.0000       0.0000       0.0000      28.3100     310.0000
   1976.0000      92.0000       0.4222       0.0000      25.0000      20.0000       0.4500      12.2800      41.9600      -5.6900     128.4745     -22.5000      -0.4000      -9.0800     312.9294       2.8948     -20.2920    1639.0000      30.7600     313.6000   97675.0000       0.5300       3.7100      22.5000       0.4000      -9.0800       0.6400       1.3900       1.4500       0.0000       0.0000       0.0000      27.9200     312.2000
   1976.0000      92.0000       0.4333       0.0000      26.0000       0.0000       0.4500      12.2800      41.9600      -5.6900     128.4811     -22.5700      -1.6500      -9.3900     320.5267      -5.6508      -8.8985    1639.0000      29.6700     320.7000  186302.0000      -1.0100       1.5900      22.5700       1.6500      -9.3900       0.3200       0.7900       0.8600       0.0000       0.0000       0.0000      27.3600     309.6000
   1976.0000      92.0000       0.4447       0.0000      26.0000      41.0000       0.4500      12.2800      41.9500      -5.6900     128.4778     -22.9800      -1.4800      -8.7200     316.8124      -5.9172     -24.3260    1639.0000      28.3200     317.8000   84986.0000      -1.0700       4.3900      22.9800       1.4800      -8.7200       0.2900       0.6100       0.7200       0.0000       0.0000       0.0000      29.6600     314.8000
   1976.0000      92.0000       0.4558       0.0000      27.0000      21.0000       0.4500      12.2800      41.9500      -5.6900     128.4844     -23.2300      -1.1800      -8.7300     323.7685      -4.0688     -21.3929    1639.0000      29.4300     324.5000  169017.0000      -0.7200       3.7800      23.2300       1.1800      -8.7300       0.4000       0.8300       0.8700       0.0000       0.0000       0.0000      27.4800     311.2000
   1976.0000      92.0000       0.4672       0.0000      28.0000       2.0000       0.4500      12.2800      41.9400      -5.6900     128.4811     -23.1700       2.1600      -8.7400     316.8456       1.5484     -21.8229    1639.0000      32.9000     317.6000  117903.0000       0.2800       3.9400      23.1700      -2.1600      -8.7400       0.5600       3.0200       1.4200       0.0000       0.0000       0.0000      30.1800     313.6000
   1976.0000      92.0000       0.4783       0.0000      28.0000      42.0000       0.4500      12.2800      41.9400      -5.6900     128.4877     -23.0000       3.0700      -8.1300     309.3755       9.8306     -17.0346    1639.0000      31.3200     310.0000   61578.0000       1.8200       3.1500      23.0000      -3.0700      -8.1300       0.2300       0.5400       0.5400       0.0000       0.0000       0.0000      29.1200     307.4000
   1976.0000      92.0000       0.4897       0.0000      29.0000      23.0000       0.4500      12.2800      41.9300      -5.6900     128.4844     -22.7900       2.0200      -8.1800     312.6848       9.6080     -20.4493    1639.0000      28.5700     313.5000   97951.0000       1.7600       3.7400      22.7900      -2.0200      -8.1800       0.2700       0.5500       0.5700       0.0000       0.0000       0.0000      27.8800     306.5000
   1976.0000      92.0000       0.5008       0.0000      30.0000       3.0000       0.4500      12.2900      41.9300      -5.6900     128.4910     -22.7800       3.0100      -7.1000     316.0820       0.0552     -19.7754    1639.0000      26.9700     316.7000  121931.0000       0.0100       3.5800      22.7800      -3.0100      -7.1000       0.3100       0.8700       0.8800       0.0000       0.0000       0.0000      28.6400     307.3000
   1976.0000      92.0000       0.5122       0.0000      30.0000      44.0000       0.4500      12.2900      41.9200      -5.6900     128.4877     -23.5600       1.4300      -5.6600     316.7289       6.4133     -16.0481    1639.0000      25.8000     317.2000  122168.0000       1.1600       2.9000      23.5600      -1.4300      -5.6600       0.5600       1.3100       1.3700       0.0000       0.0000       0.0000      29.4100     305.8000
   1976.0000      92.0000       0.5233       0.0000      31.0000      24.0000       0.4500      12.2900      41.9200      -5.6900     128.4943     -23.7300       1.5200      -5.0700     315.5252       2.7535     -10.1367    1639.0000      32.8200     315.7000  157852.0000       0.5000       1.8400      23.7300      -1.5200      -5.0700       0.3600       0.9500       0.7300       0.0000       0.0000       0.0000      27.7000     306.8000
   1976.0000      92.0000       0.5347       0.0000      32.0000       5.0000       0.4500      12.2900      41.9100      -5.6900     128.4910     -23.5600       1.9300      -5.2200     319.5984       0.3347     -16.0224    1639.0000      30.3500     320.0000  143013.0000       0.0600       2.8700      23.5600      -1.9300      -5.2200       0.5400       1.8200       1.7600       0.0000       0.0000       0.0000      26.3500     303.5000
   1976.0000      92.0000       0.5458       0.0000      32.0000      45.0000       0.4500      12.2900      41.9100      -5.6900     128.4976     -23.0600       4.1200      -7.0200     312.5872       1.3094      -8.2946    1639.0000      32.0900     312.7000  143445.0000       0.2400       1.5200      23.0600      -4.1200      -7.0200       1.0200       2.2900       1.8700       0.0000       0.0000       0.0000      28.4300     305.5000
   1976.0000      92.0000       0.5572       0.0000      33.0000      26.0000       0.4500      12.2900      41.9000      -5.6900     128.4943     -24.2400       1.3200      -3.6300     315.4657       3.1935     -11.7336    1639.0000      27.7100     315.7000  163378.0000       0.5800       2.1300      24.2400      -1.3200      -3.6300       0.3300       0.7300       0.8300       0.0000       0.0000       0.0000      27.4800     306.0000
   1976.0000      92.0000       0.5683       0.0000      34.0000       6.0000       0.4500      12.2900      41.9000      -5.6900     128.5009     -24.2700       2.6500      -3.9000     317.7951       1.3312       1.1648    1639.0000      28.4500     317.8000  155582.0000       0.2400      -0.2100      24.2700      -2.6500      -3.9000       0.2400       1.0300       1.1400       0.0000       0.0000       0.0000      27.9500     304.6000
   1976.0000      92.0000       0.5797       0.0000      34.0000      47.0000       0.4500      12.2900      41.8900      -5.6900     128.4976     -24.1900       3.8400      -4.5700     315.3119       9.1379      -9.9132    1639.0000      23.9900     315.6000  136052.0000       1.6600       1.8000      24.1900      -3.8400      -4.5700       0.3700       0.8600       1.1100       0.0000       0.0000       0.0000      26.9800     301.2000
   1976.0000      92.0000       0.5908       0.0000      35.0000      27.0000       0.4500      12.2900      41.8900      -5.6900     128.5042     -23.8700       4.2400      -3.8900     313.7812      10.8478      -4.4389    1639.0000      26.5800     314.0000  149916.0000       1.9800       0.8100      23.8700      -4.2400      -3.8900       0.4200       0.5100       0.4800       0.0000       0.0000       0.0000      26.3000     303.5000
   1976.0000      92.0000       0.6022       0.0000      36.0000       8.0000       0.4500      12.3000      41.8800      -5.6900     128.5009     -23.6400       3.8100      -3.5700     307.5002      11.0068      -1.3426    1639.0000      23.3600     307.7000   47132.0000       2.0500       0.2500      23.6400      -3.8100      -3.5700       0.2700       0.9400       0.6000       0.0000       0.0000       0.0000      25.9700     300.5000
   1976.0000      92.0000       0.6133       0.0000      36.0000      48.0000       0.4500      12.3000      41.8800      -5.6900     128.5075     -23.3300       4.1400      -3.8500     312.7905       7.0982      -4.2596    1639.0000      29.9500     312.9000  155410.0000       1.3000       0.7800      23.3300      -4.1400      -3.8500       0.2600       0.5200       0.4900       0.0000       0.0000       0.0000      26.2000     301.5000
   1976.0000      92.0000       0.6247       0.0000      37.0000      29.0000       0.4500      12.3000      41.8700      -5.6900     128.5042     -22.8700       4.7600      -3.4200     312.3408      12.5995      -1.8004    1639.0000      26.5100     312.6000  121034.0000       2.3100       0.3300      22.8700      -4.7600      -3.4200       0.2200       0.4300       0.6300       0.0000       0.0000       0.0000      25.6600     299.5000
   1976.0000      92.0000       0.6358       0.0000      38.0000       9.0000       0.4500      12.3000      41.8700      -5.6900     128.5108     -22.5600       5.7200      -2.6400     310.9918      12.7626      -5.3786    1639.0000      25.7800     311.3000  108125.0000       2.3500       0.9900      22.5600      -5.7200      -2.6400       0.2800       0.9700       0.9900       0.0000       0.0000       0.0000      25.9800     301.1000
   1976.0000      92.0000       0.6472       0.0000      38.0000      50.0000       0.4500      12.3000      41.8600      -5.6900     128.5075     -22.2200       6.5700      -2.2400     313.7101      15.6174       0.9320    1639.0000      28.1700     314.1000  161208.0000       2.8500      -0.1700      22.2200      -6.5700      -2.2400       0.3400       0.8000       0.5800       0.0000       0.0000       0.0000      26.0700     299.9000
   1976.0000      92.0000       0.6583       0.0000      39.0000      30.0000       0.4500      12.3000      41.8600      -5.6900     128.5141     -22.0600       7.4800      -2.5800     317.1346      20.6749       7.6561    1639.0000      24.0500     317.9000  200436.0000       3.7300      -1.3800      22.0600      -7.4800      -2.5800       0.2800       0.9800       0.8600       0.0000       0.0000       0.0000      26.2300     299.4000
   1976.0000      92.0000       0.6697       0.0000      40.0000      11.0000       0.4500      12.3000      41.8500      -5.6900     128.5108     -21.4400       8.5500      -1.5100     307.9386      23.0459      -0.3773    1639.0000      26.1900     308.8000   79126.0000       4.2800       0.0700      21.4400      -8.5500      -1.5100       0.4000       1.0100       1.9900       0.0000       0.0000       0.0000      26.3800     300.2000
   1976.0000      92.0000       0.6808       0.0000      40.0000      51.0000       0.4500      12.3000      41.8400      -5.6900     128.5074     -20.6600      10.1900       2.7200     311.0770      23.7176       8.6599    1639.0000      26.8000     312.1000  131624.0000       4.3600      -1.5900      20.6600     -10.1900       2.7200       0.4200       1.2300       1.1000       0.0000       0.0000       0.0000      26.9900     299.7000
   1976.0000      92.0000       0.6922       0.0000      41.0000      32.0000       0.4500      12.3000      41.8400      -5.6900     128.5141     -20.5200      10.6500       2.9400     319.1126      37.6565      19.2029    1639.0000      28.6000     321.9000  171652.0000       6.7300      -3.4200      20.5200     -10.6500       2.9400       0.3300       0.9600       1.3500       0.0000       0.0000       0.0000      28.3000     305.0000
   1976.0000      92.0000       0.7033       0.0000      42.0000      12.0000       0.4500      12.3100      41.8300      -5.6900     128.5107     -20.4400      10.7800       3.7100     315.3046      33.1399      24.6733    1639.0000      30.7400     318.0000  111659.0000       6.0000      -4.4500      20.4400     -10.7800       3.7100       0.2900       1.0800       0.9500       0.0000       0.0000       0.0000      25.9300     305.8000
   1976.0000      92.0000       0.7147       0.0000      42.0000      53.0000       0.4500      12.3100      41.8300      -5.6900     128.5174     -20.8000      10.7500       1.4100     319.3459      34.2410      24.3749    1639.0000      33.2200     322.1000  142689.0000       6.1200      -4.3400      20.8000     -10.7500       1.4100       0.5700       1.2000       1.3200       0.0000       0.0000       0.0000      27.7200     305.8000
